Index,Time Stamp (ns since boot),Quality,File Name,Max Processor Temperature (C),Trigger Backlog, Bytes,Rejected Triggers,UTC Time (us),Active Cores,Max CPU Freq,CPU0 Temp,CPU1 Temp,CPU2 Temp,CPU3 Temp,GPU Temp,PopMem Temp,CPU0 Freq,CPU1 Freq,CPU2 Freq,CPU3 Freq
   1,  1017225626013, 80,       IMG_00001.jpg,91, 0, 843639, 0,1538687510860626,4,    960000,91,90,91,88,82,79,    960000,    960000,    960000,    960000,
   2,  1018302132680, 80,       IMG_00002.jpg,91, 0, 842374, 0,1538687511938132,4,    960000,91,89,90,87,82,79,    960000,    960000,    960000,    960000,
   3,  1018970926169, 80,       IMG_00003.jpg,90, 0, 842955, 0,1538687512606926,4,    960000,90,89,89,87,82,79,    960000,    960000,    960000,    960000,
   4,  1020209291116, 80,       IMG_00004.jpg,90, 0, 843448, 0,1538687513845291,4,    883200,90,89,89,86,82,79,    883200,    883200,    883200,    883200,
   5,  1021244738772, 80,       IMG_00005.jpg,91, 0, 845247, 0,1538687514880738,4,    960000,91,90,89,86,82,79,    960000,    960000,    960000,    960000,
   6,  1021971845334, 80,       IMG_00006.jpg,90, 0, 844891, 0,1538687515607845,4,    729600,90,89,90,87,82,79,    729600,    729600,    729600,    729600,
   7,  1022967231167, 80,       IMG_00007.jpg,91, 0, 845052, 0,1538687516603231,4,    960000,91,89,90,87,82,79,    960000,    960000,    960000,    960000,
