Time Stamp (ns since boot),xGyro (rad/s),yGyro (rad/s),zGyro (rad/s), xAccel (g), yAccel (g), zAccel (g), xMag (uT), yMag (uT), zMag (uT), Temp (C), Roll (deg), Pitch (deg), Yaw (deg), Yaw Accuracy (deg)
1002031328367,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2958267,0.14621645,88.48715,180.0
1002036327756,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2958267,0.14621611,88.48714,180.0
1002041325070,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2958863,0.14678724,88.48717,180.0
1002046325570,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2958865,0.14678691,88.48717,180.0
1002051323899,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2947052,0.14716884,88.48718,180.0
1002056323701,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.294705,0.14716853,88.48717,180.0
1002061321658,1.3315806E-4,-0.001298291,5.824333E-4,0.36391866,0.04070143,9.878476,-34.810184,-2.0299501,-74.83711,N/A,-2.2934656,0.14846824,88.48726,180.0
1002066321643,-9.321064E-4,-0.0023635554,5.824333E-4,0.4141969,0.06464344,9.895236,-34.810184,-2.0299501,-74.83711,N/A,-2.2934659,0.14846802,88.48724,180.0
1002071319647,-9.321064E-4,-0.0023635554,5.824333E-4,0.4285621,0.033518825,9.900024,-34.328094,-1.7284223,-74.733536,N/A,-2.2932072,0.1484179,88.48723,180.0
1002076319658,-0.0019973707,-2.330266E-4,-4.828311E-4,0.4309563,-0.0023942017,9.892841,-34.328094,-1.7284223,-74.733536,N/A,-2.2932074,0.1484177,88.48723,180.0
1002081317680,1.3315806E-4,0.0018975022,-0.0015480955,0.39743748,0.04309563,9.866506,-33.916332,-1.8880745,-74.84014,N/A,-2.293074,0.14771104,88.4872,180.0
1002086317723,-9.321064E-4,-0.001298291,5.824333E-4,0.40462008,0.038307227,9.861717,-33.916332,-1.8880745,-74.84014,N/A,-2.2930741,0.14771062,88.4872,180.0
1002091315785,0.0011984225,-0.0023635554,-0.00261336,0.41180268,0.031124622,9.825804,-33.77556,-1.9765663,-74.88499,N/A,-2.2947614,0.14667016,88.48717,180.0
1002096315453,-9.321064E-4,0.0018975022,-0.00261336,0.39983168,0.01436521,9.837775,-33.77556,-1.9765663,-74.88499,N/A,-2.2947614,0.14667016,88.48715,180.0
1002101313312,0.0011984225,-0.001298291,5.824333E-4,0.40701428,0.045489833,9.868899,-33.821762,-1.6201253,-74.73556,N/A,-2.293862,0.14823951,88.48723,180.0
1002106312906,1.3315806E-4,8.322378E-4,-0.0015480955,0.39743748,-0.0047884034,9.888053,-33.821762,-1.6201253,-74.73556,N/A,-2.2938619,0.14823951,88.48723,180.0
1002111310375,1.3315806E-4,8.322378E-4,-4.828311E-4,0.4237737,0.011971008,9.825804,-33.98524,-1.1959808,-74.72337,N/A,-2.293366,0.15011734,88.487305,180.0
1002116309786,0.0011984225,-0.0034288198,-0.0015480955,0.36631286,0.047884032,9.844957,-33.98524,-1.1959808,-74.72337,N/A,-2.293366,0.15011702,88.48729,180.0
1002121307166,0.0011984225,8.322378E-4,-0.0015480955,0.40940848,-0.021547815,9.835381,-34.17979,-0.8531581,-74.89047,N/A,-2.295697,0.14936364,88.48729,180.0
1002126306541,0.0011984225,0.004028031,-4.828311E-4,0.39983168,0.011971008,9.868899,-34.17979,-0.8531581,-74.89047,N/A,-2.2956975,0.14936341,88.48729,180.0
1002131303906,1.3315806E-4,-2.330266E-4,5.824333E-4,0.37588966,0.011971008,9.909601,-34.26158,-0.49084485,-74.96167,N/A,-2.2960804,0.1503979,88.487305,180.0
1002136303272,0.0011984225,0.0018975022,-4.828311E-4,0.37349546,0.050278235,9.916783,-34.26158,-0.49084485,-74.96167,N/A,-2.2960804,0.15039779,88.487305,180.0
1002141300670,1.3315806E-4,0.0018975022,5.824333E-4,0.38307226,0.04309563,9.864111,-34.258488,-0.02021314,-74.68345,N/A,-2.2968774,0.15016246,88.487305,180.0
1002146300081,1.3315806E-4,8.322378E-4,-4.828311E-4,0.37828386,0.031124622,9.868899,-34.258488,-0.02021314,-74.68345,N/A,-2.2968774,0.15016235,88.487305,180.0
1002151297503,1.3315806E-4,8.322378E-4,-4.828311E-4,0.40462008,0.035913024,9.900024,-34.111538,0.52033234,-74.1524,N/A,-2.2972815,0.14975236,88.48729,180.0
1002156296928,1.3315806E-4,-0.001298291,-4.828311E-4,0.4141969,0.016759412,9.830592,-34.111538,0.52033234,-74.1524,N/A,-2.2972815,0.14975205,88.48729,180.0
1002161294359,1.3315806E-4,-0.001298291,-4.828311E-4,0.39983168,0.021547815,9.78989,-33.821053,0.56413996,-73.91007,N/A,-2.297304,0.15003893,88.487305,180.0
1002166295093,1.3315806E-4,8.322378E-4,-0.00261336,0.37828386,0.016759412,9.840169,-33.697678,0.0057240534,-73.99466,N/A,-2.297304,0.15003882,88.487305,180.0
1002171293170,1.3315806E-4,8.322378E-4,-0.00261336,0.40462008,0.023942016,9.902418,-33.697678,0.0057240534,-73.99466,N/A,-2.2979455,0.14789046,88.48721,180.0
1002176294142,0.0011984225,8.322378E-4,-4.828311E-4,0.4333505,0.047884032,9.842564,-33.938343,-0.49964634,-73.86973,N/A,-2.2979457,0.14789024,88.48721,180.0
1002181294774,0.0011984225,8.322378E-4,-4.828311E-4,0.4333505,0.047884032,9.842564,-33.938343,-0.49964634,-73.86973,N/A,-2.2963274,0.14826155,88.48723,180.0
1002186295822,0.0011984225,8.322378E-4,-0.0015480955,0.39983168,0.009576807,9.816227,-33.938343,-0.49964634,-73.86973,N/A,-2.2963276,0.14826111,88.48723,180.0
1002191296201,-9.321064E-4,-2.330266E-4,-0.0015480955,0.38307226,0.023942016,9.830592,-34.290382,-0.5307495,-73.45419,N/A,-2.2952704,0.14904754,88.48726,180.0
